finding_subtype,explanation,policy_b,policy,severity,description,finding_type,policy_a
DIRECT_CONFLICT,"policy_05.md requires X, but policy_26.md prohibits X.",policy_26.md,,HIGH,Direct contradiction between policy_05.md and policy_26.md on vendor.,CONFLICT,policy_05.md
DIRECT_CONFLICT,"policy_02.md requires X, but policy_07.md prohibits X.",policy_07.md,,HIGH,Direct contradiction between policy_02.md and policy_07.md on HR.,CONFLICT,policy_02.md
DIRECT_CONFLICT,"policy_05.md requires X, but policy_23.md prohibits X.",policy_23.md,,HIGH,Direct contradiction between policy_05.md and policy_23.md on HR.,CONFLICT,policy_05.md
DIRECT_CONFLICT,"policy_29.md requires X, but policy_28.md prohibits X.",policy_28.md,,HIGH,Direct contradiction between policy_29.md and policy_28.md on asset.,CONFLICT,policy_29.md
DIRECT_CONFLICT,"policy_12.md requires X, but policy_24.md prohibits X.",policy_24.md,,HIGH,Direct contradiction between policy_12.md and policy_24.md on data retention.,CONFLICT,policy_12.md
DIRECT_CONFLICT,"policy_30.md requires X, but policy_09.md prohibits X.",policy_09.md,,HIGH,Direct contradiction between policy_30.md and policy_09.md on logging.,CONFLICT,policy_30.md
DIRECT_CONFLICT,"policy_28.md requires X, but policy_03.md prohibits X.",policy_03.md,,HIGH,Direct contradiction between policy_28.md and policy_03.md on network.,CONFLICT,policy_28.md
DIRECT_CONFLICT,"policy_24.md requires X, but policy_12.md prohibits X.",policy_12.md,,HIGH,Direct contradiction between policy_24.md and policy_12.md on encryption.,CONFLICT,policy_24.md
DIRECT_CONFLICT,"policy_04.md requires X, but policy_10.md prohibits X.",policy_10.md,,HIGH,Direct contradiction between policy_04.md and policy_10.md on vendor.,CONFLICT,policy_04.md
DIRECT_CONFLICT,"policy_06.md requires X, but policy_19.md prohibits X.",policy_19.md,,HIGH,Direct contradiction between policy_06.md and policy_19.md on data retention.,CONFLICT,policy_06.md
DIRECT_CONFLICT,"policy_09.md requires X, but policy_17.md prohibits X.",policy_17.md,,HIGH,Direct contradiction between policy_09.md and policy_17.md on provisioning.,CONFLICT,policy_09.md
DIRECT_CONFLICT,"policy_18.md requires X, but policy_27.md prohibits X.",policy_27.md,,HIGH,Direct contradiction between policy_18.md and policy_27.md on patch.,CONFLICT,policy_18.md
DIRECT_CONFLICT,"policy_15.md requires X, but policy_25.md prohibits X.",policy_25.md,,HIGH,Direct contradiction between policy_15.md and policy_25.md on provisioning.,CONFLICT,policy_15.md
DIRECT_CONFLICT,"policy_09.md requires X, but policy_03.md prohibits X.",policy_03.md,,HIGH,Direct contradiction between policy_09.md and policy_03.md on access.,CONFLICT,policy_09.md
DIRECT_CONFLICT,"policy_21.md requires X, but policy_08.md prohibits X.",policy_08.md,,HIGH,Direct contradiction between policy_21.md and policy_08.md on password.,CONFLICT,policy_21.md
PARTIAL_CONFLICT,"policy_03.md applies to all users, policy_30.md to admins only.",policy_30.md,,MEDIUM,Scope-dependent contradiction between policy_03.md and policy_30.md on backup.,CONFLICT,policy_03.md
PARTIAL_CONFLICT,"policy_25.md applies to all users, policy_30.md to admins only.",policy_30.md,,MEDIUM,Scope-dependent contradiction between policy_25.md and policy_30.md on provisioning.,CONFLICT,policy_25.md
PARTIAL_CONFLICT,"policy_06.md applies to all users, policy_11.md to admins only.",policy_11.md,,MEDIUM,Scope-dependent contradiction between policy_06.md and policy_11.md on api.,CONFLICT,policy_06.md
PARTIAL_CONFLICT,"policy_19.md applies to all users, policy_04.md to admins only.",policy_04.md,,MEDIUM,Scope-dependent contradiction between policy_19.md and policy_04.md on backup.,CONFLICT,policy_19.md
PARTIAL_CONFLICT,"policy_16.md applies to all users, policy_26.md to admins only.",policy_26.md,,MEDIUM,Scope-dependent contradiction between policy_16.md and policy_26.md on endpoint.,CONFLICT,policy_16.md
PARTIAL_CONFLICT,"policy_15.md applies to all users, policy_12.md to admins only.",policy_12.md,,MEDIUM,Scope-dependent contradiction between policy_15.md and policy_12.md on endpoint.,CONFLICT,policy_15.md
PARTIAL_CONFLICT,"policy_28.md applies to all users, policy_16.md to admins only.",policy_16.md,,MEDIUM,Scope-dependent contradiction between policy_28.md and policy_16.md on asset.,CONFLICT,policy_28.md
PARTIAL_CONFLICT,"policy_02.md applies to all users, policy_07.md to admins only.",policy_07.md,,MEDIUM,Scope-dependent contradiction between policy_02.md and policy_07.md on logging.,CONFLICT,policy_02.md
PARTIAL_CONFLICT,"policy_16.md applies to all users, policy_22.md to admins only.",policy_22.md,,MEDIUM,Scope-dependent contradiction between policy_16.md and policy_22.md on password.,CONFLICT,policy_16.md
PARTIAL_CONFLICT,"policy_15.md applies to all users, policy_25.md to admins only.",policy_25.md,,MEDIUM,Scope-dependent contradiction between policy_15.md and policy_25.md on patch.,CONFLICT,policy_15.md
REDUNDANCY,Both require the same action on encryption.,policy_18.md,,LOW,Duplicate or near-duplicate obligations in policy_13.md and policy_18.md.,REDUNDANCY,policy_13.md
REDUNDANCY,Both require the same action on encryption.,policy_06.md,,LOW,Duplicate or near-duplicate obligations in policy_10.md and policy_06.md.,REDUNDANCY,policy_10.md
REDUNDANCY,Both require the same action on cloud.,policy_13.md,,LOW,Duplicate or near-duplicate obligations in policy_06.md and policy_13.md.,REDUNDANCY,policy_06.md
REDUNDANCY,Both require the same action on change.,policy_08.md,,LOW,Duplicate or near-duplicate obligations in policy_01.md and policy_08.md.,REDUNDANCY,policy_01.md
REDUNDANCY,Both require the same action on endpoint.,policy_16.md,,LOW,Duplicate or near-duplicate obligations in policy_26.md and policy_16.md.,REDUNDANCY,policy_26.md
REDUNDANCY,Both require the same action on asset.,policy_03.md,,LOW,Duplicate or near-duplicate obligations in policy_21.md and policy_03.md.,REDUNDANCY,policy_21.md
REDUNDANCY,Both require the same action on vendor.,policy_06.md,,LOW,Duplicate or near-duplicate obligations in policy_01.md and policy_06.md.,REDUNDANCY,policy_01.md
REDUNDANCY,Both require the same action on backup.,policy_06.md,,LOW,Duplicate or near-duplicate obligations in policy_01.md and policy_06.md.,REDUNDANCY,policy_01.md
REDUNDANCY,Both require the same action on privacy.,policy_11.md,,LOW,Duplicate or near-duplicate obligations in policy_02.md and policy_11.md.,REDUNDANCY,policy_02.md
REDUNDANCY,Both require the same action on monitoring.,policy_20.md,,LOW,Duplicate or near-duplicate obligations in policy_28.md and policy_20.md.,REDUNDANCY,policy_28.md
REDUNDANCY,Both require the same action on third-party.,policy_23.md,,LOW,Duplicate or near-duplicate obligations in policy_12.md and policy_23.md.,REDUNDANCY,policy_12.md
REDUNDANCY,Both require the same action on vendor.,policy_20.md,,LOW,Duplicate or near-duplicate obligations in policy_09.md and policy_20.md.,REDUNDANCY,policy_09.md
REDUNDANCY,Both require the same action on logging.,policy_12.md,,LOW,Duplicate or near-duplicate obligations in policy_06.md and policy_12.md.,REDUNDANCY,policy_06.md
REDUNDANCY,Both require the same action on patch.,policy_19.md,,LOW,Duplicate or near-duplicate obligations in policy_29.md and policy_19.md.,REDUNDANCY,policy_29.md
REDUNDANCY,Both require the same action on change.,policy_14.md,,LOW,Duplicate or near-duplicate obligations in policy_20.md and policy_14.md.,REDUNDANCY,policy_20.md
REDUNDANCY,Both require the same action on asset.,policy_19.md,,LOW,Duplicate or near-duplicate obligations in policy_18.md and policy_19.md.,REDUNDANCY,policy_18.md
REDUNDANCY,Both require the same action on third-party.,policy_11.md,,LOW,Duplicate or near-duplicate obligations in policy_09.md and policy_11.md.,REDUNDANCY,policy_09.md
REDUNDANCY,Both require the same action on endpoint.,policy_22.md,,LOW,Duplicate or near-duplicate obligations in policy_08.md and policy_22.md.,REDUNDANCY,policy_08.md
REDUNDANCY,Both require the same action on network.,policy_29.md,,LOW,Duplicate or near-duplicate obligations in policy_28.md and policy_29.md.,REDUNDANCY,policy_28.md
REDUNDANCY,Both require the same action on monitoring.,policy_17.md,,LOW,Duplicate or near-duplicate obligations in policy_15.md and policy_17.md.,REDUNDANCY,policy_15.md
