policy_file,obligation_text,topic,strength,scope,policy_title,policy_department,policy_author,policy_version,policy_last_reviewed,policy_status
policy_01.md,Contractors must backup.,backup,must,contractors,Password Policy,Product,Ava Johnson,v2.3,2023-03-28,active
policy_02.md,Developers prohibited asset.,asset,prohibited,developers,Cloud Security Policy,Sales,Priya Nair,v2.2,2022-07-15,active
policy_03.md,Developers recommended mobile.,mobile,recommended,developers,Data Classification Policy,Compliance,Ava Johnson,v3.4,2024-02-19,active
policy_04.md,Admins must backup.,backup,must,admins,Acceptable Use Policy,HR,Mia Gonzalez,v3.1,2024-03-20,active
policy_05.md,Admins required backup.,backup,required,admins,Data Retention Policy,Infrastructure,Ava Johnson,v3.5,2022-09-22,active
policy_06.md,Employees shall third-party.,third-party,shall,employees,Network Security Policy,Operations,Noah Patel,v3.0,2022-12-15,active
policy_07.md,Contractors shall encryption.,encryption,shall,contractors,Encryption Policy,Infrastructure,Daniel Kim,v3.3,2023-04-07,active
policy_08.md,All Users prohibited mobile.,mobile,prohibited,all users,Access Control Policy,Support,Alex Morgan,v3.2,2023-01-23,active
policy_09.md,Developers shall monitoring.,monitoring,shall,developers,Incident Response Policy,Compliance,Noah Patel,v2.3,2025-12-12,retired
policy_10.md,All Users must cloud.,cloud,must,all users,Vendor Management Policy,Operations,Ethan Walker,v2.3,2024-12-07,active
policy_11.md,Admins required vendor.,vendor,required,admins,Remote Work Policy,Product,Daniel Kim,v3.2,2025-06-02,draft
policy_12.md,Admins required logging.,logging,required,admins,Mobile Device Policy,IT Security,Fatima Noor,v3.2,2025-10-09,retired
policy_13.md,Contractors shall network.,network,shall,contractors,Physical Security Policy,Legal,Priya Nair,v2.0,2025-08-12,draft
policy_14.md,Employees required cloud.,cloud,required,employees,Change Management Policy,Support,Daniel Kim,v2.0,2025-02-24,active
policy_15.md,Contractors recommended provisioning.,provisioning,recommended,contractors,Backup & Recovery Policy,Compliance,Noah Patel,v2.4,2025-04-01,draft
policy_16.md,Developers recommended mobile.,mobile,recommended,developers,Asset Management Policy,Operations,Ethan Walker,v3.4,2025-01-13,active
policy_17.md,Employees should patch.,patch,should,employees,Privacy Policy,HR,Liam Carter,v1.4,2026-01-31,retired
policy_18.md,Employees recommended network.,network,recommended,employees,Third-Party Risk Policy,HR,Fatima Noor,v1.4,2024-11-06,retired
policy_19.md,All Users recommended api.,api,recommended,all users,User Provisioning Policy,Infrastructure,Daniel Kim,v1.5,2025-01-18,retired
policy_20.md,Developers prohibited access. (Reference: NIST SP 800-53 Rev 4),access,prohibited,developers,Monitoring Policy,Finance,Liam Carter,v3.2,2025-07-31,draft
policy_21.md,Contractors should endpoint.,endpoint,should,contractors,Logging Policy,Infrastructure,Priya Nair,v1.0,2025-05-02,retired
policy_22.md,All Users should change.,change,should,all users,Vulnerability Management Policy,Operations,Priya Nair,v2.1,2025-11-17,retired
policy_23.md,Employees shall cloud.,cloud,shall,employees,Patch Management Policy,Compliance,Ava Johnson,v2.3,2025-12-24,draft
policy_24.md,Employees must monitoring.,monitoring,must,employees,HR Security Policy,Compliance,Daniel Kim,v1.2,2025-11-04,retired
policy_25.md,Developers must logging.,logging,must,developers,Legal Compliance Policy,Operations,Alex Morgan,v3.5,2025-07-22,active
policy_26.md,All Users prohibited patch.,patch,prohibited,all users,Business Continuity Policy,Engineering,Ava Johnson,v3.0,2026-01-30,active
policy_27.md,Employees must third-party. (Reference: GDPR 2016),third-party,must,employees,Disaster Recovery Policy,Operations,Ethan Walker,v1.4,2025-10-03,draft
policy_28.md,Admins recommended vendor.,vendor,recommended,admins,Awareness Training Policy,Legal,Sophia Chen,v2.0,2025-08-03,retired
policy_29.md,Developers required provisioning.,provisioning,required,developers,Endpoint Security Policy,Compliance,Alex Morgan,v1.3,2025-07-26,active
policy_30.md,Developers recommended api.,api,recommended,developers,API Security Policy,Infrastructure,Alex Morgan,v1.2,2025-03-16,retired
policy_01.md,Developers shall monitoring.,monitoring,shall,developers,Password Policy,Product,Ava Johnson,v2.3,2023-03-28,active
policy_02.md,Developers must network.,network,must,developers,Cloud Security Policy,Sales,Priya Nair,v2.2,2022-07-15,active
